雄安新区||2017 年 4 月 1 日   ， 中共中央 、 国务院 决定 再此 设立 的 国家级 新区 。 这 是 以 习近平 同志 为 核心 的 党中央 作出 的 一项 重大 的 历史性 战略 选择 ， 是 继 深圳经济特区 和 上海浦东新区 之后 又 一 具有 全国 意义 的 新区 ， 是 千年 大计 、 国家 大事 。 [ 
人脸识别||我国 自主 研发 的 首台 可 人脸识别 的 atm 机 日前 通过 验收 ， 这台 atm 机将 与 银行 、 公安 等 系统 联网 ， 持卡人 只能 从 自己 的 银行卡 中 取款 ， 当前 ， 我国 金融 与 安防 领域 对于 人脸识别 的 需求 迫切 ， 产业 将 进入 爆发式 增长期 ， 预计 未来 十年 内 有望 形成 年销售额 过 千亿 的 市场 规模 
人脑工程||4 月 3 日 出版 的 英国 《 自然 》 杂志 发表 两项 相关 研究 ， 介绍 了 哺乳动物 大脑 中 完整 的 基因 表达 图谱 和 神经元 联系 图谱 。 其中 ， 美国 华盛顿州 西雅图 艾伦 脑科学 研究所 的 艾德 · 雷恩 与 他 的 科研 团队 ， 提供 了 人类 胎儿 妊娠 中期 详细 的 大脑 基因 表达 图谱 ， 填补 该 领域 的 知识 空白 
柔性电路||柔性电路 是 由 日本东京大学 的 研究 人员 开发 出 一种 只有 食品 保鲜膜 1 / 5 的 厚度 、 重量 上 比 羽毛 还 轻 的 柔性电路 ， 这为 医生 提供 了 未来 将 传感器 植入 人 体内 的 可能 。 这种 在 超薄 薄膜 上 的 设备 是 独一无二 的 ， 因为 即使 将 其 揉 成团 或 拉伸 ， 仍然 可以 工作 
乳制品||乳品 包括 以 生鲜 牛 （ 羊 ） 乳 及其 制品 为 主要 原料 ， 经 加工 制成 的 产品 
深圳国资改革||目前 深圳 国资委 控股 上市公司 23 家 ， 总 市值 609 亿元 ， 是 国资委 成立 时 的 近 6 倍 ； 累计 完成 融资 重组 67 次 ， 融资 规模 居 地方 国资 前列 
深港通||深圳 交易所 与 香港 交易所 互联互通 。 
上海自贸区||上海 自由贸易 试验区 ， 是 中国政府 设立 在 上海 的 区域性 自由贸易 园区 ， 该 试验区 于 2013 年 8 月 22 日经 国务院 正式 批准 设立 ， 于 9 月 29 日 上午 10 时 正式 挂牌 开张 
水利工程||水利工程 是 用于 控制 和 调配 自然界 的 地表水 和 地下水 ， 达到 除害兴利 目的 而 修建 的 工程 。 也 称为 水 工程 。 水是 人类 生产 和 生活 必不可少 的 宝贵 资源 ， 但 其 自然 存在 的 状态 并 不 完全符合 人类 的 需要 。 
石墨烯||石墨烯 是 一种 二维 碳 材料 ， 是 单层 石墨烯 、 双层 石墨烯 和 多层 石墨烯 的 统称 。 于 2004 年 问世 ， 其 发现者 英国曼彻斯特大学 安德烈 - 海姆 教授 于 2010 年 获得 诺贝尔物理学奖 。 
食品安全检测||全国 加强 食品安全 工作 电视电话会议 6 月 11 日 在 京 召开 ， 国务院 总理 李克强 批示 ， 以 “ 零 容忍 ” 的 举措 惩治 食品安全 违法犯罪 ， 考虑 到 2015 最新 食品 安全法 将 于 10 月 1 日 正式 实施 ， 政府 将 出台 多个 食品 安全监管 措施 
食品饮料||吃喝 
三沙||三沙市 是 全国 继 浙江 舟山市 之后 第二个 以 群岛 设市 的 地级 行政区 ， 由 海南省 管辖 ， 其 定位 与 发展 与 海南省 的 国家 定位 密切相关 ， 一直 以来 都 是 我国 的 南大门 
十三五规划||中国共产党 第十八届 中央委员会 第五次 全体会议 于 10 月 26 日至 29 日 在 北京 召开 。 主要 议程 是 研究 关于 制定 “ 十三 五 ” 规划 的 建议 。 梳理 多家 投资 机构 重要 观点 ， 得出 “ 十三 五 ” 规划 八大 掘金 主题 ： 养老 领域 、 核电 建设 、 信息 经济 、 光伏 发电 、 京津冀 发展 、 国企改革 、 环保 产业 、 ppp 投资 。 
ST股||被 st 的 股票 
生态农业||运用 现代 科学技术 成果 和 现代 管理手段 ， 以及 传统 农业 的 有效 经验 建立 起来 的 ， 能 获得 较 高 的 经济效益 、 生态效益 和 社会效益 的 现代化 高效 农业 。 形成 生态 上 与 经济 上 两个 良性循环 ， 经济 、 生态 、 社会 三大 效益 的 统一 。 
ST摘帽||st 摘帽 ： 被 st 的 股票 ， 最后 回复 原有 正常 的 名称 。 往往 会有 一波 行情 。 
三网融合||三网融合 是 指 电信网 、 广播电视 网 、 互联网 在 向 宽带 通信网 、 数字 电视网 、 下一代 互联网 演进 过程 中 ， 三大 网络 通过 技术改造 ， 其 技术 功能 趋于 一致 ， 业务范围 趋于 相同 ， 网络 互联互通 、 资源共享 ， 能为 用户 提供 语音 、 数据 和 广播电视 等 多种 服务 。 国务院办公厅 9 月 4 日 印发 三网融合 推广 方案 。 
手游||手游 是 指 运行 于 手机 上 的 游戏软件 
新零售||新零售 ： 说线 上线 下 和 物流 必须 结合 在 一起 
水域改革||在 土地 流转 得到 多家 中央 媒体 集中 关注 后 ， 水域 资源 的 改革 也 在 加速 推进 。 水域 资源 改革 意在 提升 养殖 效率 ， 经营 模式 上 与 土地 流转 有 诸多 相似之处 。 水域改革 概念股 重点 关注 的 应当 是 有 水域 承包 权 的 上市公司 
数字营销||互联网 营销 也 称为 网络营销 ， 就是 以 国际互联网络 为 基础 ， 利用 数字化 的 信息 和 网络媒体 的 交互性 来 辅助 营销 目标 实现 的 一种 新型 的 市场营销 方式 
铜||铜 元素 是 一种 金属 化学元素 ， 也 是 人体 所 必须 的 一种 微量元素 ，   铜 也 是 人类 发现 最早 的 金属 之一 ， 是 人类 广泛 使用 的 一种 金属 ， 属于 重金属 
钛白粉||钛白粉 学名 二氧化钛 （ tio2 ） ， 具有 无毒 、 最佳 的 不透明性 、 最佳 的 白度 和 光亮度 ， 被 公认 为 是 目前 世界 上 性能 最 优异 的 白色 颜料 ， 钛白粉 概念股 约 占 全部 白色 颜料 使用量 的 80 % ， 被 广泛应用 于 涂料 、 塑料 、 造纸 、 印刷 油墨 、 化纤 、 橡胶 、 陶瓷 、 化妆品 、 食品 和 医药 等 工业 ， 是 世界 无机 化工产品 中 销售额 最大 的 三种 商品 之一 ， 仅次于 合成氨 和 磷酸 。 
土地流转||土地流转 是 指 土地 使用权 流转 ， 土地 使用权 流转 的 含义 ， 是 指 拥有 土地 承包 经营权 的 农户 将 土地 经营权 （ 使用权 ） 转让 给 其他 农户 或 经济 组织 ， 即 保留 承包 权 ， 转让 使用权 。 
特高压||特高压 输电 是 指以 交流 1000 千伏 及 以上 和 直流 正负 800 千伏 及 以上 进行 长距离 输电 ， 特高压 输电 的 优势 是 高效 ， 十二五 期间 特高压 的 投资 金额 有望 达到 2700 亿元 ， 这较 “ 十一五 ” 期间 的 200 亿 投资 ， 足足 增长 了 13 倍 。 
天津自贸区||中国 （ 天津 ） 自由贸易 园区 ， 是 中国政府 即将 设立 在 天津市 滨海新区 的 区域性 自由贸易 园区 ， 属 中国 自由贸易区 范畴 
糖类||沪 深 两市 共有 4 家以 制糖 为主 业 的 上市公司 ， 其中 3 家为 南方 的 甘蔗 制糖 企业 ， 分别 是 产糖 大省 广西 的 南宁糖业 、 贵糖 股份 和 广东 的 广东 甘化 ， 另外 一家 是 北方 的 甜菜 制糖 企业 ， 位于 内蒙古 的 华资 实业 
铁路基建||铁路 建设 产业链 
天然气||我国 天然气 资源 相对 匮乏 ， 总体 供给 偏紧 ， 供需 缺口 主要 依靠 进口量 增长 弥补 。 数据 显示 ， 2013 年 ， 我国 天然气 进口量 同比 大增 25 % ， 达到 530 亿立方米 。 全年 天然气 表观 消费量 为 1676 亿立方米 ， 天然气 对外 依存度 首次 突破 30 % ， 达到 31.6 % 。 
土壤治理||土壤 修复 是 使 遭受 污染 的 土壤 恢复正常 功能 的 技术 措施 。 在 土壤 修复 行业 ， 已有 的 土壤 修复 技术 达到 一百多种 ， 常用 技术 也 有 十多种 ， 大致 可 分为 物理 、 化学 和 生物 三种 方法 
特斯拉||特斯拉 供应链 ， 定义 未来 汽车 制造 的 核心 环节 ： 三元 锂电池 、 电 驱动 系统 、 车载 信息系统 、 adas 系统 以及 轻量化 车身 是 首选 投资 领域 ， 市场 空间 大且 盈利 能力 强 。 特斯拉 目标 2018 年 50 万辆 ， 2020 年 100 万辆 达产 ， 正在 加快 中国 建厂 进度 ， 将 推动 整个 供应链 持续 景气 ， 市场 预期 和 想象 空间 将 再次 扩张 。 
体育||2 月 27 日 ， 中央 深改 小组 审议 通过 了 通过 了 《 中国 足球 改革 总体方案 》 ， 下面 为 大家 详细 梳理 a股 足球 产业链 上市公司 
万达私有化||港股 万达 商业 选股 私有化 回归 a股 ， 相关 概念股 扬帆 起航 。 
网红||网络红人 是 指 在 现实 或者 网络 生活 中 因为 某个 事件 或者 某个 行为 而 被 网民 关注 从而 走红 的 人 。 “ 网红 ” 的 核心 是 内容 + 人物 独立 ip + 社交 服务 。 
文化传媒||文化传媒 就是 传媒业 当中 的 一个 延伸 领域 ， 用 现代 的 传播 手段 ， 通过 传媒 来 进行 文化 的 传播 和 不同 文化 之间 的 交流 ， 这个 领域 杂 揉 了 文化 以及 传播 的 相关 专业知识 。 
玩具制造||玩具 ， 泛指 可用 来 玩 的 物品 ， 玩 玩具 在 人类 社会 中 常常 被 作为 一种 寓教于乐 的 方式 
网络安全||网络安全 是 指 网络系统 的 硬件 、 软件 及其 系统 中 的 数据 受到 保护 ， 不 因 偶然 的 或者 恶意 的 原因 而 遭受 到 破坏 、 更改 、 泄露 ， 系统 连续 可靠 正常 地 运行 ， 网络服务 不 中断 。   网络安全 从 其本质 上 来讲 就是 网络 上 的 信息安全 
物联网||物联网 是 新一代 信息技术 的 重要 组成部分 ， 也 是 “ 信息化 ” 时代 的 重要 发展 阶段 ， 顾名思义 ， 物联网 就是 物物 相连 的 互联网 
网络游戏||网络游戏 又称   “ 在线 游戏 ” ， 简称 “ 网游 ” 。 指以 互联网 为 传输 媒介 ， 以 游戏 运营商 服务器 和 用户 计算机 为 处理 终端 ， 以 游戏 客户端 软件 为 信息 交互 窗口 的 旨在 实现 娱乐 、 休闲 、 交流 和 取得 虚拟 成就 的 具有 可持续性 的 个体性 多人 在线 游戏 
无人机||无人 是 利用 无线电 遥控 设备 和 自备 的 程序控制 装置 操纵 的 不 载人 飞机 。 无人机 按 应用领域 ， 可 分为 军用 与 民用 。 军用 方面 ， 无人机 分为 侦察机 和 靶机 
无人驾驶||无人驾驶 汽车 是 一种 智能 汽车 ， 也 可以 称之为 轮式 移动机器人 ， 主要 依靠 车内 的 以 计算机系统 为主 的 智能 驾驶仪 来 实现 无人驾驶 。 
污水处理||污水处理 为 使 污水 达到 排水 某一 水体 或 再次 使用 的 水质 要求 对 其 进行 净化 的 过程 
维生素||维生素 是 人 和 动物 为 维持 正常 的 生理功能 而 必须 从 食物 中 获得 的 一类 微量 有机 物质 ， 在 人体 生长 、 代谢 、 发育 过程 中 发挥 着 重要 的 作用 。 维生素 既 不 参与 构成 人 体细胞 ， 也 不 为 人体 提供 能量 
梧桐树||外汇管理局 旗下 投资 平台 （ 梧桐树 、 坤 藤 投资 、 凤山 投资 ） 买入 a股 
无线充电||无线充电 技术 （ wireless   charging   technology ） ， 源于 无线电 能 传输技术 ， 小 功率 无线充电 常 采用 电磁感应 式 （ 手机 、 ipad 、 iwatch 等 ） ， 大功率 无线充电 常 采用 谐振 式 （ 电动汽车 ） ， 由 供电 设备 （ 充电器 ） 将 能量 传送 至 用电 的 装置 。 
细胞免疫||细胞免疫治疗 渐渐 走入 公众 视野 ， 它 利用人体 自身 的 免疫系统 治疗 肿瘤 ， 即 肿瘤 免疫治疗 ， 已 成为 国际 药企 的 研发 热点 ， 作为 全新 的 抗肿瘤 治疗 方法 ， 细胞免疫治疗 有望 引发 全球 医学界 关注 
现代农机||农业 生产 中 使用 的 各种 机械设备 统称 。 是 指 ； 大 小型 拖拉机 、 平整土地 机械 、 耕地 犁具 、 耕耘机 、 插秧机 、 播种机 、 脱粒机 、 抽水机 、 联合 收割机 等 设备 
消费金融||李克强 10 日 主持 召开 国务院 常务会议 ， 部署 发展 消费金融 。 将 放开 市场准入 ， 下放 审批权 ， 鼓励 符合条件 的 民间 资本 参与 。 会议 指出 ， 消费金融 将 与 商业银行 错位 竞争 、 互补 发展 ， 有利于 更好 发挥 消费 对 经济 增长 的 拉动 作用 
新疆||新疆 地处 亚欧大陆 地理 中心 ， 是 向 西 开放 的 桥头堡 ， 被 定位 为 “ 丝绸之路   经济带 核心区 ” 。 随着 政策 利好 不断 加码 ， 新疆 基建   领域 投资 有望 加快 
虚拟现实||2016 年 虚拟现实 （ vr ） 有望 迎来 小 爆发 ； 预计 到 2020 年 ， 全球 头戴 vr 设备 年销量 将 达 4000 万台 左右 ， 市场 规模 约 400 亿元 ， 加上 内容 服务 和 企业级 应用 ， 市场 容量 超过 千亿元 ； 长期 来看 ， 万亿 可 期 。 
新能源||新能源 汽车 包括 纯 电动汽车 、 增 程式 电动汽车 、 混合 动力 汽车 、 燃料电池 电动汽车 、 氢 发动机 汽车 、 其他 新能源 汽车 等 
芯片国产化||
新三板||“ 新三板 ” 市场 原 指 中关村科技园区 非上市 股份 有限公司 进入 代办 股份 系统 进行 转让 试点 ， 因为 挂牌 企业 均 为 高科技 企业 而 不同于 原 转让 系统 内 的 退市 企业 及原 staq 、 net 系统 挂牌 公司 ， 故 形象 地 称为 “ 新三板 ” 
稀土永磁||稀土 稀土元素 在 石油 、 化工 、 冶金 、 纺织 、 陶瓷 、 玻璃 、 永磁 材料 等 领域 都 得到 了 广泛 的 应用 ， 随着 科技 的 进步 和 应用 技术 的 不断 突破 ， 稀土 氧化物 的 价值 将 越来越 大 。 有 “ 工业 维生素 ” 的 美称 。 现如今 已 成为 极其重要 的 战略 资源 。 
移动医疗||2014 年 ， 医药行业 正式 迎来 了 互联网 的 全面 入侵 — — 在 这个 被 认定 为 “ 移动医疗 元年 ” 的 时间 点上 ， 可 穿戴 设备 和 大 数据 开始 出现 在 以往 盘根错节 的 医药行业 各个 细分 领域 
一带一路||一带一路 为 中长期 国家 发展 战略 , 覆盖 基础 建设 、 交通运输 、 高端 装备 、 电力 通讯 、 资源 开发 等 五大 相关 产业 , 重点 关注 促进 处于 国内 “ 互联互通 ” 关键 的 基础 建设 、 以及 先进 制造业 、 电力设备 、 通讯设备 等 对外 输出 重点 产业 , “ 一带一路 ” 将 是 贯穿 未来 3 年 至 5 年 的 超级 投资 主题 
移动支付||移动支付 也 称为 手机 支付 ， 就是 允许 用户 使用 其 移动 终端 （ 通常 是 手机 ） 对 所 消费 的 商品 或 服务 进行 账务 支付 的 一种 服务 方式 。 单位 或 个人 通过 移动 设备 、 互联网 或者 近距离 传感 直接 或 间接 向 银行 金融机构 发送 支付 指令 产生 货币 支付 与 资金 转移 行为 ， 从而 实现 移动支付 功能 。 
移动转售||移动 通信 转售 业务 是 指 从 拥有 移动 网络 的 基础 电信业务 经营者 购买 移动 通信 服务 ， 重新 包装 成 自有 品牌 并 销售 给 最终用户 的 移动 通信 服务 
依法治国||依法治国 就是 依照 体现 人民意志 和 社会 发展 规律 的 法律 治理 国家 ， 而 不是 依照 个人 意志 、 主张 治理 国家 ； 要求 国家 的 政治 、 经济 运作 、 社会 各 方面 的 活动 统统 依照 法律 进行 ， 而 不受 任何 个人 意志 的 干预 、 阻碍 或 破坏 。 
妖股||走势 与 大盘 或 常理 相悖 ， 完全 不 符合 基本 的 技术 分析 规律 ， 明明 这家 上市公司 亏损 ， 却 连连 拉 出 涨停 ; 明明 这家 公司 的 股票 达 不到 这么 高 的 价位 ， 却 涨 的 很 高 
粤港澳大湾区||“ 粤港澳 大湾 区 ” 包括 香港 、 澳门 两个 特别 行政区 ， 以及 广东省 的 九个 城市 ， 是 目前 国家 经济 活力 最强 的 区域 之一 , 粤港澳 湾区 将 从 单核 城市 带动 周边 、 到 自贸区 间 的 互动 ， 进而 形成 内地 九城 的 统一 市场 ， 然后 通过 中央政府 层面 的 大力 推动 实现 粤港澳 大湾 区 统一 市场 的 实现 
乙肝疫苗||乙肝疫苗 是 用于 预防 乙肝 的 特殊 药物 。 疫苗 接种 后 ， 可 刺激 免疫系统 产生 保护性 抗体 ， 这种 抗体 存在 于 人 的 体液 之中 ， 乙肝病毒 一旦 出现 ， 抗体 会 立即 作用 ， 将 其 清除 ， 阻止 感染 ， 并 不会 伤害 肝脏 ， 从而 使 人体 具有 了 预防 乙肝 的 免疫力 ， 从而 达到 预防 乙肝 感染 的 目的 。 
云计算||云计算 是 基于 互联网 的 相关 服务 的 增加 、 使用 和 交付 模式 ， 通常 涉及 通过 互联网 来 提供 动态 易 扩展 且 经常 是 虚拟化 的 资源 
养老||随着 城市化 进程 的 加快 ， 农村 人口 的 养老 隐性 问题 将 显性化 。 解决 农村 人口 养老 问题 将 是 社会 不得不 面对 的 重要 任务 。 在 目前 广大 的 农村 地区 ， 家庭 养老 、 土地 养老 、 社会保险 养老 三种 模式 是 基本 的 养老 保障 方式 ， 而 社区 养老 模式 则 是 一种 新 的 尝试 
油气改革||能源 领域 改革 已经 酝酿 多时 ， 而 石油 天然气 则 是 能源 领域 改革 的 重中之重 。 2014 年 能源 工作 会议 提出 “ 稳步 推进 石油 天然气 改革 ” ， 2015 年 能源 工作 会议 提法 改变 为 “ 积极 推动 石油 天然气 体制改革 ， 拟订 总体方案 ， 推动 实施 改革 试点 ， 完善 规范 有序 、 公平合理 的 市场准入 机制 。 ” 由此可见 ， 油气 体制改革 的 方案 即将 “ 水落石出 ” 。 
央企四项改革||2014 年 7 月 15 日 ， 国资委 对 监管 的 中粮 集团 、 中国 医药集团 总公司 、 中国 建筑材料 集团公司 、 新兴 际华 集团 有限公司 、 中国 节能 环保 公司 等 6 家 中央 企业 开展 “ 四项 改革 ” 试点 
有色金属||有色金属 板块 是 指以 开采 有色金属 ， 冶炼 、 加工 有色金属 制品 为 主营业务 的 上市 公司股票 分类 板块 ， 属 a股 中 权重 板块 之一 ， 同 煤炭 板块 均 属 资源 股 ， 和 国际 市场 期货价格 联动 较为 密切 
液态金属||据 cnbeta . com 网站 消息 ， 一项 由 北卡罗莱纳州 立 大学 研究 人员 开发 的 新 技术 可能 真正 成为 癌症 终结者 ， 研究 人员 开发 了 一种 用 新型 液态金属 技术 制成 的 纳米 机器人 “ 纳米 终结者 ” 。 这种 机器人 能够 有效 地 携带 药物 ， 精准 地 吸附 并 杀死 癌变 细胞 。 由此 引发 了 液态金属 席卷 a股 
医药||医药行业 是 我国 国民经济 的 重要 组成部分 ， 作为 沪 深 两市 重要 的 组成部分 ， 医药 股 备受 机构 投资者 追捧 ， 是 典型 的 防御性 板块 
盐业改革||2014 年 11 月 20 日工 信 部门 表示 正 加紧 研究 制定 盐业 体制改革 方案 ， 力争 取消 食盐 专营 。 食盐 专营 制度 的 取消 ， 将会 让 中国 相传 了 2600 多年 的 食盐 “ 专营 ” 制度 寿终正寝 。 
页岩气||页岩气是 指 赋存 于富 有机质 泥 页岩 及其 夹层 中 ， 以 吸附 和 游离 状态 为 主要 存在 方式 的 非常规 天然气 ， 成分 以 甲烷 为主 ， 是 一种 清洁 、 高效 的 能源 资源 和 化工原料 
中电投系||国资委 网站 消息 ， 中电投 和 国家 核电 实施 联合 重组 ， 成立 国家 电力 投资 集团公司 （ 简称 国电 投 ） ， 原 国家 核电 技术 公司 董事长 王炳华 出任 国电 投 董事长 ， 中国 的 核电 业 正式 进入 国电 投 、 中国 核工业 集团 、 中国 广核 集团 三雄 争霸 的 局面 
中国电子集团||中国 电子 信息产业 集团 有限公司 成立 于 1989 年 5 月 ， 是 中央 直接 管理 的 国有 独资 特大型 集团公司 ， 是 中国 最大 的 国有 it 企业 ， 集团 现有 近 50 家 二级 成员 公司 ， 拥有 14 家 控股 上市公司 ， 旗下 上市公司 的 停牌 引发 集团 改革 的 预期 
智慧城市||智慧城市 就是 运用 信息 和 通信 技术手段 感测 、 分析 、 整合 城市 运行 核心 系统 的 各项 关键 信息 ， 从而 对 包括 民生 、 环保 、 公共安全 、 城市 服务 、 工商业 活动 在内 的 各种 需求 做出 智能 响应 
中航系||8 月 11 日 晚间 ， 中国 航空工业 集团公司 旗下 上市公司 中航 电子 、 中航 机电 、 中航 飞机 8 月 11 日 晚间 分别 公告 ， 因 筹划 重大 事项 ， 公司股票 8 月 12 日起 停牌 。 而 另一家 上市公司 中航 资本 已于 8 月 7 日起 停牌 ， 市场 预期 中航系 资本运作 正式 拉开帷幕 。 
中韩自贸||中 韩 两国政府 6 月 1 日 正式 签署 中 韩 自由 贸易协定 ： ① 开放 水平 方面 ， 双方 货物贸易 自由化 比例 均 超过 税目 90 % 、 贸易额 85 % ； ② 协定 范围 涵盖 货物贸易 、 服务 贸易 、 投资 和 规则 等 17 个 领域 ； ③ 双方 将 以 负面 清单 模式 继续 开展 服务 贸易谈判 。 
证金汇金||股灾 以来 证 金汇 金 扮演 救市 维稳 作用 明显 ， 号称 国家队 ， 其 增仓 行动 往往 对 个股 构成 利好 。 本 概念 展示 每个 季度 后 国家队 新进 与 增仓 的 个股 
中粮系||中粮 集团 是 世界 500 强 企业 ， 也 是 中国 领先 的 农产品 、 食品 领域 多元化 产品 和 服务供应商 ， 入选 央企 首批 改革 试点 
智能电视||智能电视 是 基于 互联网 浪潮 冲击 形成 的 新 产品 ， 其 目的 是 带给 用户 更 便捷 的 体验 ， 目前 已经 成为 电视 的 潮流 趋势 
智能电网||智能电网 ， 就是 电网 的 智能化 ， 它 是 建立 在 集成 的 、 高速 双向通信 网络 的 基础 上 ， 通过 先进 的 传感 和 测量 技术 、 设备 技术 、 控制 方法 以及 先进 的 决策支持系统 技术 的 应用 ， 实现 电网 的 可靠 、 安全 、 经济 、 高效 、 环境友好 和 使用 安全 的 目标 。 智能电网 的 核心 内涵 是 实现 电网 的 信息化 、 数字化 、 自动化 和 互动 化 ， 即 坚强 的 智能电网 （ strong   smart   grid ） ， 包括 无功 补偿 ， 数字化 变电站 ，   在线 监测 ， 电动汽车 充电 模块 和 储能 电池 充电 模块 
智能家居||智能家居 是 以 住宅 为 平台 ， 利用 综合 布线 技术 、 网络通信 技术 、   安全 防范 技术 、 自动 控制技术 、 音视频 技术 将 家居生活 有关 的 设施 集成 ， 构建 高效 的 住宅 设施 与 家庭 日程 事务 的 管理系统 ， 提升 家居 安全性 、 便利性 、 舒适性 、 艺术性 ， 并 实现 环保 节能 的 居住 环境 。 
智能物流||智能物流 是 利用 集成 智能化 技术 ， 使 物流 系统 能 模仿 人 的 智能 ， 具有 思维 ， 感知 ， 学习 ， 推理 判断 和 自行解决 物流 中 某些 问题 的 能力 。 
智能音箱||
增强现实||增强现实 ( augmented   reality ， 简称   ar ) ， 是 一种 实时 地 计算 摄影机 影像 的 位置 及 角度 并 加上 相应 图像 的 技术 ， 这种 技术 的 目标 是 在 屏幕 上 把 虚拟世界 套 在 现实 世界 并 进行 互动 。 
猪肉||猪肉 概念股 走势 随着 猪肉 价格 的 波动 而 波动 ， 猪肉 价格 是 影响 cpi 的 重要 指标 
振兴东北||上 一轮 东北 振兴 战略 始于 2003 年 ， 曾 取得 重要 的 阶段性 成果 。 但 2013 年 以来 ， 东北地区 经济 增速 明显 下滑 ， 亟待 开展 体制 、 机制 方面 的 改革 。 高层 的 重视 使得 东北 振兴 正 迎来 难得 的 历史 机遇 
在线教育||在线教育 即 e - learning ， 或称 远程教育 、 在线 学习 ， 现行 概念 中 一般 指 的 是 指 一种 基于 网络 的 学习 行为 ， 与 网络 培训 概念 相似 ， 和 互联网 金融 类似 ， bat 巨头 们 在 在线教育 上 的 竞争 ， 好戏 才 刚刚 拉开序幕 ， 互联网 巨头 正在 抢占 在线教育 市场 
在线旅游||依托 互联网 ， 以 满足 旅游 消费者 信息 查询 、 产品 预定 及 服务 评价 为 核心 目的 ， 囊括 了 包括 航空公司 、 酒店 、 景区 、 租车 公司 、 海内外 旅游局 等 旅游 服务供应商 及 搜索引擎 、 ota 、 电信 运营商 、 旅游 资讯 及 社区 网站 等 在线旅游 平台 的 新 产业 正 处于 快速 上升期 
债转股||是 指 国家 组建 金融资产 管理 公司 ， 收购 不良资产 ， 把 原来 与 企业 间 的 债权债务 关系 ， 转变 为 金融资产 管理 公司 与 企业 间 的 控股 （ 或 持股 ） 与 被 控股 的 关系 ， 债权 转为 股权 后 ， 原来 的 还本付息 就 转变 为 按 股 分红 . 
中字头||以中 开头 的 股票 ， 大部分 为央企 ， 护盘 重心 
